OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,TYPE,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,REGULATED,CNTRL_AREA,PLAN_AREA,HOLDING_CO,SUMMR_PEAK,WINTR_PEAK,SUMMER_CAP,WINTER_CAP,NET_GEN,PURCHASED,NET_EX,RETAIL_MWH,WSALE_MWH,TOTAL_MWH,TRANS_MWH,CUSTOMERS,YEAR,Shape__Are,Shape__Len,IPM_Region,ID_2
"1246","18199","SWISHER ELECTRIC COOP, INC",401 S.W. SECOND ST.,TULIA,TX,"79088",(800) 530-4344,COOPERATIVE,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861, TIGER/Line Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,http://www.swisherelectric.coop/,NOT AVAILABLE,SOUTHWEST POWER POOL,"GOLDEN SPREAD ELECTRIC COOPERATIVE, INC.","SWISHER ELECTRIC COOP, INC",-999999.000000000000000,-999999.000000000000000,-999999.000000000000000,-999999.000000000000000,"204628","-999999","-999999","-999999","-999999","-999999","-999999","-999999","2020",1.410621470449090,5.876541630396050,ERC_PHDL,"1"
"1369","19159","TRI-COUNTY ELECTRIC COOP, INC (TX)",600 N.W. PARKWAY,AZLE,TX,"76020",(817) 444-3201,COOPERATIVE,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","EIA 861, TIGER/Line Shapefiles - U.S. Census",2021/10/06,OTHER,2021/04/30,http://www.tcectexas.com/,REGULATED,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",NOT AVAILABLE,"TRI-COUNTY ELECTRIC COOP, INC",774.000000000000000,546.000000000000000,-999999.000000000000000,-999999.000000000000000,"-999999","2986970","0","2863900","-999999","2986970","0","120579","2020",3.524360777643100,13.298269547725500,ERC_PHDL,"1"
"1558","20404",AEP TEXAS NORTH COMPANY,NOT AVAILABLE,NOT AVAILABLE,OK,NOT AVAILABLE,NOT AVAILABLE,INVESTOR OWNED,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861, TIGER/Line Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,NOT AVAILABLE,NOT AVAILABLE,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",ERCOT,AMERICAN ELECTRIC POWER CO,-999999.000000000000000,-999999.000000000000000,-999999.000000000000000,-999999.000000000000000,"593625","-999999","0","-999999","593625","593625","0","-999999","2020",16.624437235753501,34.338789696601097,ERC_PHDL,"1"
"1694","22690",ROOSEVELT COUNTY ELEC COOP INC,NOT AVAILABLE,NOT AVAILABLE,NM,NOT AVAILABLE,NOT AVAILABLE,COOPERATIVE,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION",EIA 861,2021/10/06,OTHER,2018/10/12,NOT AVAILABLE,NOT AVAILABLE,SOUTHWEST POWER POOL,NOT AVAILABLE,ROOSEVELT COUNTY ELECTRIC COOPERATIVE,31.000000000000000,26.000000000000000,-999999.000000000000000,-999999.000000000000000,"-999999","180511","0","168171","-999999","180511","0","6066","2020",0.825144561648813,4.498596281422530,ERC_PHDL,"1"
"2130","4939","DEAF SMITH ELECTRIC COOP, INC",1501 EAST FIRST ST.,HEREFORD,TX,"79045",(806) 364-1166,COOPERATIVE,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861, TIGER/Line Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,http://www.dsec.org/,REGULATED,SOUTHWEST POWER POOL,ERCOT,"DEAF SMITH ELECTRIC COOP, INC",189.000000000000000,111.000000000000000,-999999.000000000000000,-999999.000000000000000,"-999999","863636","0","807292","-999999","863636","0","14839","2020",1.222585982500500,4.722858410317720,ERC_PHDL,"1"
"2329","6198","FARMERS ELECTRIC COOP, INC - (NM)",NOT AVAILABLE,NOT AVAILABLE,NM,NOT AVAILABLE,NOT AVAILABLE,COOPERATIVE,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","EIA 861, TIGER/Line Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,NOT AVAILABLE,NOT AVAILABLE,SOUTHWEST POWER POOL,NOT AVAILABLE,"FARMERS ELECTRIC COOP, INC - (NM)",73.000000000000000,54.000000000000000,-999999.000000000000000,-999999.000000000000000,"-999999","426167","0","401337","-999999","426167","0","13285","2020",5.847836761196280,13.441988949976000,ERC_PHDL,"1"
"2367","6472",CITY OF FLOYDADA - (TX),NOT AVAILABLE,NOT AVAILABLE,TX,NOT AVAILABLE,NOT AVAILABLE,MUNICIPAL,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","EIA 861, Urban Areas - Cartographic Boundary Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,NOT AVAILABLE,NOT AVAILABLE,SOUTHWEST POWER POOL,NOT AVAILABLE,CITY OF FLOYDADA - (TX),-999999.000000000000000,-999999.000000000000000,-999999.000000000000000,-999999.000000000000000,"17402","-999999","-999999","-999999","-999999","-999999","-999999","-999999","2020",0.000419234612309,0.146057063663668,ERC_PHDL,"1"
"2517","7561","GREENBELT ELECTRIC COOP, INC",706 10TH ST.,WELLINGTON,TX,"79095",(806) 447-2536,COOPERATIVE,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861, TIGER/Line Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,http://www.greenbeltelectric.coop/,NOT AVAILABLE,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",ERCOT,"GREENBELT ELECTRIC COOP, INC",40.000000000000000,28.000000000000000,-999999.000000000000000,-999999.000000000000000,"-999999","231633","0","216148","-999999","231633","0","5454","2020",2.072405149752510,7.834854469228920,ERC_PHDL,"1"
"2877","19264",CITY OF TULIA,NOT AVAILABLE,NOT AVAILABLE,TX,NOT AVAILABLE,NOT AVAILABLE,MUNICIPAL,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","EIA 861, Urban Areas - Cartographic Boundary Shapefiles - U.S. Census",2021/10/06,OTHER,2022/06/03,NOT AVAILABLE,NOT AVAILABLE,SOUTHWEST POWER POOL,NOT AVAILABLE,CITY OF TULIA,-999999.000000000000000,-999999.000000000000000,-999999.000000000000000,-999999.000000000000000,"31148","-999999","-999999","-999999","-999999","-999999","-999999","-999999","2020",0.000643318160655,0.290379118273007,ERC_PHDL,"1"
"4","10009",KARNES ELECTRIC COOP INC,1007 N. HWY. 123,KARNES CITY,TX,"78118",(830) 780-3952,COOPERATIVE,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","EIA 861, TIGER/Line Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,http://www.karnesec.org/,NOT AVAILABLE,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",ERCOT,KARNES ELECTRIC COOP INC,207.000000000000000,208.000000000000000,-999999.000000000000000,-999999.000000000000000,"-999999","1170464","0","1129899","-999999","1170464","0","21327","2020",3.085929966941650,8.976780983637353,ERC_REST,"2"
"21","1015",AUSTIN ENERGY,P O BOX 1088,AUSTIN,TX,"78767",(512) 494-9400,MUNICIPAL,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2021/10/06,OTHER,2021/04/30,http://www.austinenergy.com,REGULATED,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",NOT AVAILABLE,AUSTIN ENERGY,2810.000000000000000,2031.000000000000000,1319.500000000000000,1428.400000000000091,"8625175","6120068","-385224","13087868","786275","14360019","0","510430","2020",0.525199900648659,2.960241968797180,ERC_REST,"2"
"47","10359",KIRBYVILLE LIGHT & POWER CO,NOT AVAILABLE,NOT AVAILABLE,TX,NOT AVAILABLE,NOT AVAILABLE,MUNICIPAL,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","EIA 861, TIGER/Line Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,NOT AVAILABLE,NOT AVAILABLE,"MIDCONTINENT INDEPENDENT TRANSMISSION SYSTEM OPERATOR, INC..",NOT AVAILABLE,KIRBYVILLE LIGHT & POWER CO,-999999.000000000000000,-999999.000000000000000,-999999.000000000000000,-999999.000000000000000,"18631","-999999","-999999","-999999","-999999","-999999","-999999","-999999","2020",0.236643110502428,3.737041894741380,ERC_REST,"2"
"67","10532",CITY OF LA GRANGE - (TX),NOT AVAILABLE,NOT AVAILABLE,TX,NOT AVAILABLE,NOT AVAILABLE,MUNICIPAL,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","EIA 861, Urban Areas - Cartographic Boundary Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,NOT AVAILABLE,NOT AVAILABLE,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",ERCOT,CITY OF LA GRANGE - (TX),-999999.000000000000000,-999999.000000000000000,-999999.000000000000000,-999999.000000000000000,"55999","-999999","-999999","-999999","-999999","-999999","-999999","-999999","2020",0.000887552346967,0.243318825311688,ERC_REST,"2"
"105","10649",LAMAR COUNTY ELEC COOP ASSN,1485 N. MAIN ST.,PARIS,TX,"75460",(800) 782-9010,COOPERATIVE,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861, TIGER/Line Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,http://www.lamarelectric.coop/,NOT AVAILABLE,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",ERCOT,LAMAR COUNTY ELEC COOP ASSN,57.000000000000000,57.000000000000000,-999999.000000000000000,-999999.000000000000000,"-999999","244642","0","228640","-999999","244642","0","12919","2020",0.796870561187916,6.720699260462920,ERC_REST,"2"
"107","10656",CITY OF LAMPASAS - (TX),NOT AVAILABLE,NOT AVAILABLE,TX,NOT AVAILABLE,(512) 556-3641,MUNICIPAL,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861, Urban Areas - Cartographic Boundary Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,http://www.lampasas.org/index.aspx?NID=161,NOT AVAILABLE,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",ERCOT,CITY OF LAMPASAS - (TX),-999999.000000000000000,-999999.000000000000000,-999999.000000000000000,-999999.000000000000000,"102669","-999999","-999999","-999999","-999999","-999999","-999999","-999999","2020",0.000774003978449,0.304564658500192,ERC_REST,"2"
"155","10969",CITY OF LEXINGTON - (TX),NOT AVAILABLE,NOT AVAILABLE,TX,NOT AVAILABLE,NOT AVAILABLE,MUNICIPAL,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861, TIGER/Line Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,NOT AVAILABLE,NOT AVAILABLE,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",ERCOT,CITY OF LEXINGTON - (TX),-999999.000000000000000,-999999.000000000000000,-999999.000000000000000,-999999.000000000000000,"10737","-999999","-999999","-999999","-999999","-999999","-999999","633","2020",0.153998957649719,2.211606825741000,ERC_REST,"2"
"179","11103",CITY OF LLANO - (TX),NOT AVAILABLE,NOT AVAILABLE,TX,NOT AVAILABLE,NOT AVAILABLE,MUNICIPAL,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861, Urban Areas - Cartographic Boundary Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,NOT AVAILABLE,NOT AVAILABLE,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",ERCOT,CITY OF LLANO - (TX),-999999.000000000000000,-999999.000000000000000,-999999.000000000000000,-999999.000000000000000,"42326","-999999","-999999","-999999","-999999","-999999","-999999","-999999","2020",0.000520547785527,0.285359941170158,ERC_REST,"2"
"181","11119",CITY OF LOCKHART - (TX),NOT AVAILABLE,NOT AVAILABLE,TX,NOT AVAILABLE,(512) 398-6117,MUNICIPAL,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861, Urban Areas - Cartographic Boundary Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,http://www.lockhart-tx.org/web98/citydepartments/electric.asp,NOT AVAILABLE,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",ERCOT,CITY OF LOCKHART - (TX),-999999.000000000000000,-999999.000000000000000,-999999.000000000000000,-999999.000000000000000,"108979","-999999","-999999","-999999","-999999","-999999","-999999","-999999","2020",0.001935494548206,0.327032833776824,ERC_REST,"2"
"204","11241",ENTERGY LOUISIANA LLC,4809 JEFFERSON HIGHWAY,JEFFERSON,LA,"70121",NOT AVAILABLE,INVESTOR OWNED,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2021/10/06,OTHER,2019/05/01,NOT AVAILABLE,REGULATED,"MIDCONTINENT INDEPENDENT TRANSMISSION SYSTEM OPERATOR, INC..",ENTERGY CORPORATION/SERVICES (ENTERGY SYSTEM),ENTERGY CORP,9374.000000000000000,8252.000000000000000,-999999.000000000000000,-999999.000000000000000,"48975481","14468836","0","53896350","7949638","63444317","0","1098249","2020",10.325031456318101,88.834014839295307,ERC_REST,"2"
"220","11316",CITY OF LULING - (TX),NOT AVAILABLE,NOT AVAILABLE,TX,NOT AVAILABLE,NOT AVAILABLE,MUNICIPAL,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861, Urban Areas - Cartographic Boundary Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,NOT AVAILABLE,NOT AVAILABLE,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",ERCOT,CITY OF LULING - (TX),-999999.000000000000000,-999999.000000000000000,-999999.000000000000000,-999999.000000000000000,"52230","-999999","-999999","-999999","-999999","-999999","-999999","-999999","2020",0.000705949295252,0.335535961418607,ERC_REST,"2"
"248","11501",MAGIC VALLEY ELECTRIC COOP INC,1 3/4 MILES WEST ON HWY. 83,MERCEDES,TX,"78570",(866) 225-5683,COOPERATIVE,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861, TIGER/Line Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,http://www.magicvalley.coop/,REGULATED,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",ERCOT,MAGIC VALLEY ELECTRIC COOP INC,611.000000000000000,479.000000000000000,-999999.000000000000000,-999999.000000000000000,"-999999","2545738","0","2434699","-999999","2545738","0","124549","2020",1.600424351564700,17.086549497813600,ERC_REST,"2"
"285","1175","BANDERA ELECTRIC COOP, INC",3172 HWY. 16 N.,BANDERA,TX,"78003",(866) 226-3372,COOPERATIVE,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","EIA 861, TIGER/Line Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,http://www.banderaelectric.com/,REGULATED,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",ERCOT,"BANDERA ELECTRIC COOP, INC",173.000000000000000,173.000000000000000,-999999.000000000000000,-999999.000000000000000,"-999999","702286","0","645256","-999999","702286","0","38084","2020",1.789588840347960,7.102706894252820,ERC_REST,"2"
"293","11793",CITY OF MASON - (TX),NOT AVAILABLE,NOT AVAILABLE,TX,NOT AVAILABLE,NOT AVAILABLE,MUNICIPAL,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861, TIGER/Line Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,NOT AVAILABLE,NOT AVAILABLE,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",ERCOT,CITY OF MASON - (TX),-999999.000000000000000,-999999.000000000000000,-999999.000000000000000,-999999.000000000000000,"25228","-999999","-999999","-999999","-999999","-999999","-999999","-999999","2020",0.227392044751241,1.924175873843470,ERC_REST,"2"
"330","12268","MEDINA ELECTRIC COOP, INC",2308 18TH ST.,HONDO,TX,"78861",(866) 632-3532,COOPERATIVE,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","EIA 861, TIGER/Line Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,http://www.medinaec.org/,REGULATED,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",ERCOT,"MEDINA ELECTRIC COOP, INC",252.000000000000000,208.000000000000000,-999999.000000000000000,-999999.000000000000000,"-999999","1420013","0","1392709","-999999","1420013","0","34247","2020",5.787047728494140,14.025696215825301,ERC_REST,"2"
"356","12452",MID-SOUTH ELECTRIC COOP ASSN,7625 HWY. 6,NAVASOTA,TX,"77868",(936) 825-5100,COOPERATIVE,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861, TIGER/Line Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,http://www.midsouthsynergy.com/,NOT AVAILABLE,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",ERCOT,MID-SOUTH ELECTRIC COOP ASSN,181.000000000000000,166.000000000000000,-999999.000000000000000,-999999.000000000000000,"-999999","838361","0","805078","-999999","838361","0","33481","2020",1.037018646760090,7.284357844831380,ERC_REST,"2"
"399","1273","BARTLETT ELECTRIC COOP, INC",27492 HWY. 95,BARTLETT,TX,"76511",(254) 527-3551,COOPERATIVE,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","EIA 861, TIGER/Line Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,http://www.bartlettec.coop/,NOT AVAILABLE,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",ERCOT,"BARTLETT ELECTRIC COOP, INC",56.000000000000000,59.000000000000000,-999999.000000000000000,-999999.000000000000000,"-999999","220113","0","208568","-999999","220113","0","12365","2020",1.110914080252770,6.155426591446590,ERC_REST,"2"
"425","1287",CITY OF BARTLETT - (TX),NOT AVAILABLE,NOT AVAILABLE,TX,NOT AVAILABLE,NOT AVAILABLE,MUNICIPAL,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861, Urban Areas - Cartographic Boundary Shapefiles - U.S. Census",2021/10/06,OTHER,2018/10/12,NOT AVAILABLE,NOT AVAILABLE,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",ERCOT,CITY OF BARTLETT - (TX),-999999.000000000000000,-999999.000000000000000,-999999.000000000000000,-999999.000000000000000,"10332","-999999","-999999","-999999","-999999","-999999","-999999","624","2020",0.542678475283765,3.587523097981040,ERC_REST,"2"
"448","13025",CITY OF MOULTON - (TX),NOT AVAILABLE,NOT AVAILABLE,TX,NOT AVAILABLE,NOT AVAILABLE,MUNICIPAL,USA,"2211","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861, TIGER/Line Shapefiles - U.S. Census",2021/10/06,OTHER,2017/11/06,NOT AVAILABLE,NOT AVAILABLE,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",ERCOT,CITY OF MOULTON - (TX),-999999.000000000000000,-999999.000000000000000,-999999.000000000000000,-999999.000000000000000,"10272","-999999","-999999","-999999","-999999","-999999","-999999","654","2020",0.233683449899445,1.930082363962070,ERC_REST,"2"
